Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
fecundity,fecundity,0,life history,fecundity,,fecundity,fecundity,,,,,CB
fecundity per female per spawning season,fecundity per female per spawning season,0,life history,fecundity,,fecundity,fecundity per female per spawning season,,,,,CB
filled seeds per capitulum,filled seeds per capitulum,0,life history,fecundity,,fecundity,filled seeds per capitulum,,,,,CB
fruit diameter,fruit diameter,0,life history,fecundity,,fecundity,fruit diameter,,,,,CB
fruit length,fruit length,0,life history,fecundity,,fecundity,fruit length,,,,,CB
fruit mass,fruit mass,0,life history,fecundity,,fecundity,fruit mass,,,,,CB
fruit number,fruit number,0,life history,fecundity,,fecundity,fruit number,,,,,CB
fruit size,fruit size,0,life history,fecundity,,fecundity,fruit size,,,,,CB
fruit size and diameter,fruit size and diameter,0,life history,fecundity,,fecundity,fruit size and diameter,,,,,CB
gonad mass,gonad mass,0,life history,fecundity,,fecundity,gonad mass,,,,,CB
gonadosomatic index of mature females,gonadosomatic index of mature females,0,life history,fecundity,,fecundity,gonadosomatic index of mature females,,,,,CB
how many eggs per site,how many eggs per site,0,life history,fecundity,,fecundity,how many eggs per site,,,,,CB
litter production,litter production,1,life history,fecundity,,fecundity,litter production,,,,,NH
litter size,litter size,0,life history,fecundity,,fecundity,litter size,,,,,CB
log seed mass,log seed mass,0,life history,fecundity,,fecundity,log seed mass,,,,,CB
mature number of oocytes,mature number of oocytes,0,life history,fecundity,,fecundity,mature number of oocytes,,,,,CB
max fecundity,max fecundity,0,life history,fecundity,,fecundity,max fecundity,,,,,CB
max reported fecundity,max reported fecundity,0,life history,fecundity,,fecundity,max reported fecundity,,,,,CB
maximum clutch size,maximum clutch size,0,life history,fecundity,,fecundity,maximum clutch size,,,,,CB
maximum fecundity,maximum fecundity,0,life history,fecundity,,fecundity,maximum fecundity,,,,,CB
mean clutch size,mean clutch size,0,life history,fecundity,,fecundity,mean clutch size,,,,,CB
mean fecundity in the first gonotrophic cycle,mean fecundity in the first gonotrophic cycle,0,life history,fecundity,,fecundity,mean fecundity in the first gonotrophic cycle,,,,,CB
mean litter size,mean litter size,0,life history,fecundity,,fecundity,mean litter size,,,,,CB
mean number of seeds per fruit,mean number of seeds per fruit,0,life history,fecundity,,fecundity,mean number of seeds per fruit,,,,,CB
modal clutch size,modal clutch size,0,life history,fecundity,,fecundity,modal clutch size,,,,,CB
number of breeding pairs,number of breeding pairs,0,life history,fecundity,,fecundity,number of breeding pairs,,,,,CB
number of broods,number of broods,0,life history,fecundity,,fecundity,number of broods,,,,,CB
number of broods per season,number of broods per season,0,life history,fecundity,,fecundity,number of broods per season,,,,,CB
number of eggs produced,number of eggs produced,0,life history,fecundity,,fecundity,number of eggs produced,,,,,CB
number of litters per year,number of litters per year,0,life history,fecundity,,fecundity,number of litters per year,,,,,CB
number of nests,number of nests,0,life history,fecundity,,fecundity,number of nests,,,,,CB
number of nests per colony,number of nests per colony,0,life history,fecundity,,fecundity,number of nests per colony,,,,,CB
number of offspring,number of offspring,0,life history,fecundity,,fecundity,number of offspring,,,,,CB
number of oocytes,number of oocytes,0,life history,fecundity,,fecundity,number of oocytes,,,,,CB
number of ovules,number of ovules,0,life history,fecundity,,fecundity,number of ovules,,,,,CB
number of seeds,number of seeds,0,life history,fecundity,,fecundity,number of seeds,,,,,CB
number of viable seeds within a cone,number of viable seeds within a cone,0,life history,fecundity,,fecundity,number of viable seeds within a cone,,,,,CB
offspring number,offspring number,0,life history,fecundity,,fecundity,offspring number,,,,,CB
offspring production,offspring production,0,life history,fecundity,,fecundity,offspring production,,,,,CB
ovary length,ovary length,0,life history,fecundity,,fecundity,ovary length,,,,,CB
percent of total seed weight made up of non-investing structures,percent of total seed weight made up of non-investing structures,0,life history,fecundity,,fecundity,percent of total seed weight made up of non-investing structures,,,,,CB
percentage of cone mass corresponding to pulp,percentage of cone mass corresponding to pulp,0,life history,fecundity,,fecundity,percentage of cone mass corresponding to pulp,,,,,CB
potential # of descendents per reproductive cycel,potential # of descendants per reproductive cycle,0,life history,fecundity,,fecundity,potential # of descendants per reproductive cycle,,,,,CB
potential fecundity,potential fecundity,0,life history,fecundity,,fecundity,potential fecundity,,,,,CB
potential no. of descendants per reproductive cycel,potential no. of descendants per reproductive cycle,0,life history,fecundity,,fecundity,potential no. of descendants per reproductive cycle,,,,,CB
proportion of aborted seeds,proportion of aborted seeds,0,life history,fecundity,,fecundity,proportion of aborted seeds,,,,,CB
proportion of large-seeded annuals,proportion of large-seeded annuals,0,life history,fecundity,,fecundity,proportion of large-seeded annuals,,,,,CB
proportion of medium-seeded annuals,proportion of medium-seeded annuals,0,life history,fecundity,,fecundity,proportion of medium-seeded annuals,,,,,CB
proportion of small-seeded annuals,proportion of small-seeded annuals,0,life history,fecundity,,fecundity,proportion of small-seeded annuals,,,,,CB
recruitment,recruitment,0,life history,fecundity,,fecundity,recruitment,,,,,CB
relative clutch mass,relative clutch mass,0,life history,fecundity,,fecundity,relative clutch mass,,,,,CB
relative fecundity,relative fecundity,0,life history,fecundity,,fecundity,relative fecundity,,,,,CB
reproductive output,reproductive output,0,life history,fecundity,,fecundity,reproductive output,,,,,CB
reproductive potential,reproductive potential,0,life history,fecundity,,fecundity,reproductive potential,,,,,CB
reproductive potential,reproductive potential,1,life history,fecundity,,fecundity,reproductive potential,,,,,CB
seed,seed,0,life history,fecundity,,fecundity,seed,,,,,CB
seed abundance,seed abundance,0,life history,fecundity,,fecundity,seed abundance,,,,,CB
seed bank,seed bank,0,life history,fecundity,,fecundity,seed bank,,,,,CB
seed bank longevity,seed bank longevity,0,life history,fecundity,,fecundity,seed bank longevity,,,,,CB
seed bank persistence,seed bank persistence,0,life history,fecundity,,fecundity,seed bank persistence,,,,,CB
seed banking,seed banking,0,life history,fecundity,,fecundity,seed banking,,,,,CB
seed number,seed number,0,life history,fecundity,,fecundity,seed number,,,,,CB
seed output,seed output,0,life history,fecundity,,fecundity,seed output,,,,,CB
seed production,seed production,0,life history,fecundity,,fecundity,seed production,,,,,CB
seed production in relation to mature plant biomass,seed production in relation to mature plant biomass,0,life history,fecundity,,fecundity,seed production in relation to mature plant biomass,,,,,CB
seeds initiated per capitulum,seeds initiated per capitulum,1,life history,fecundity,,fecundity,seeds initiated per capitulum,,,,,CB
seeds per fruit,seeds per fruit,0,life history,fecundity,,fecundity,seeds per fruit,,,,,CB
spore formation,spore formation,0,life history,fecundity,,fecundity,spore formation,,,,,CB
stock-recruit relationship curve slope,stock-recruit relationship curve slope,0,life history,fecundity,,fecundity,stock-recruit relationship curve slope,,,,,CB
typical number of broods,typical number of broods,0,life history,fecundity,,fecundity,typical number of broods,,,,,CB
viable seeds per plant,viable seeds per plant,0,life history,fecundity,,fecundity,viable seeds per plant,,,,,CB
handling time,handling time,0,resource acquisition,feeding mode,handling,handling,handling,,,,,NH
prey handling efficiency,prey handling efficiency,0,resource acquisition,feeding mode,handling,handling,handling,,,,,NH
prey searching strategy,prey searching strategy,0,resource acquisition,feeding mode,search,search,search,,,,,NH
endofeeding,endofeeding,1,resource acquisition,feeding mode,,feeding mode,endofeeding,,1,NH: could be presence/absence of endo vs. exo feeding?,"CB: yup, NH got it",NH
exofeeding,exofeeding,1,resource acquisition,feeding mode,,feeding mode,exofeeding,,1,NH: could be presence/absence of endo vs. exo feeding?,,NH
feeding characteristics,feeding characteristics,0,resource acquisition,feeding mode,,feeding mode,feeding characteristics,,,,,NH
feeding habit,feeding habit,0,resource acquisition,feeding mode,,feeding mode,feeding habit,,,,,NH
feeding habitat,feeding habitat,0,resource acquisition,feeding mode,,feeding mode,feeding habitat,,,,,NH
feeding life stage,feeding life stage,0,resource acquisition,feeding mode,,feeding mode,feeding life stage,,,,,NH
feeding method,feeding method,0,resource acquisition,feeding mode,,feeding mode,feeding method,,,,,NH
feeding mode of adults,feeding mode of adults,0,resource acquisition,feeding mode,,feeding mode,feeding mode of adults,,,,,NH
feeding mode of larvae,feeding mode of larvae,0,resource acquisition,feeding mode,,feeding mode,feeding mode of larvae,,,,,NH
filtration type,filtration type,1,resource acquisition,feeding mode,,feeding mode,filtration type,,,,,NH
food relocation behaviour,food relocation behaviour,0,resource acquisition,feeding mode,,feeding mode,food relocation behaviour,,,,,NH
food transport strategy,food transport strategy,0,resource acquisition,feeding mode,,feeding mode,food transport strategy,,,,,NH
foraging action rate,foraging action rate,0,resource acquisition,feeding mode,,feeding mode,foraging action rate,,,,,NH
foraging behaviour,foraging behaviour,0,resource acquisition,feeding mode,,feeding mode,foraging behaviour,,,,,NH
foraging efficiency,foraging efficiency,0,resource acquisition,feeding mode,,feeding mode,foraging efficiency,,,,,NH
foraging habitat,foraging habitat,0,resource acquisition,feeding mode,,feeding mode,foraging habitat,,,,,NH
foraging location,foraging location,0,resource acquisition,feeding mode,,feeding mode,foraging location,,,,,NH
foraging method,foraging method,0,resource acquisition,feeding mode,,feeding mode,foraging method,,,,,NH
foraging strategies,foraging strategies,0,resource acquisition,feeding mode,,feeding mode,foraging strategies,,,,,NH
foraging stratum,foraging stratum,0,resource acquisition,feeding mode,,feeding mode,foraging stratum,,,,,NH
foraging substrate,foraging substrate,0,resource acquisition,feeding mode,,feeding mode,foraging substrate,,,,,NH
foraging territory size,foraging territory size,0,resource acquisition,feeding mode,,feeding mode,foraging territory size,,,,,NH
function,function,0,resource acquisition,feeding mode,,feeding mode,function,,,,,NH
function feeding group,function feeding group,0,resource acquisition,feeding mode,,feeding mode,function feeding group,,,,,NH
functional diversity,functional diversity,0,resource acquisition,feeding mode,,feeding mode,functional diversity,,,,,NH
functional feeding group,functional feeding group,0,resource acquisition,feeding mode,,feeding mode,functional feeding group,,,,,NH
functional feeding groups,functional feeding groups,0,resource acquisition,feeding mode,,feeding mode,functional feeding groups,,1,functional feeding group,"typo, combine",NH
functional group,functional group,0,resource acquisition,feeding mode,,feeding mode,functional group,,,,,NH
functional niche,functional niche,0,resource acquisition,feeding mode,,feeding mode,functional niche,,,,,NH
generalist,generalist,0,resource acquisition,feeding mode,,feeding mode,generalist,,,,,NH
gleaning,gleaning,0,resource acquisition,feeding mode,,feeding mode,gleaning,,,,,NH
group foraging,group foraging,0,resource acquisition,feeding mode,,feeding mode,group foraging,,,,,NH
group foraging strategy,group foraging strategy,0,resource acquisition,feeding mode,,feeding mode,group foraging strategy,,,,,NH
hunting mode,hunting mode,0,resource acquisition,feeding mode,,feeding mode,hunting mode,,,,,NH
hunting strategy,hunting strategy,0,resource acquisition,feeding mode,,feeding mode,hunting strategy,,,,,NH
individual foraging strategy,individual foraging strategy,0,resource acquisition,feeding mode,,feeding mode,individual foraging strategy,,,,,NH
insect predators,insect predators,0,resource acquisition,feeding mode,,feeding mode,insect predators,,,,,NH
insect specialists,insect specialists,0,resource acquisition,feeding mode,,feeding mode,insect specialists,,,,,NH
larva feeding method,larva feeding method,0,resource acquisition,feeding mode,,feeding mode,larva feeding method,,,,,NH
larval feeding habit,larval feeding habit,0,resource acquisition,feeding mode,,feeding mode,larval feeding habit,,,,,NH
larval trophic guild,larval trophic guild,0,resource acquisition,feeding mode,,feeding mode,larval trophic guild,,,,,NH
main feeding behaviour,main feeding behaviour,0,resource acquisition,feeding mode,,feeding mode,main feeding behaviour,,,,,NH
main feeding guild,main feeding guild,0,resource acquisition,feeding mode,,feeding mode,main feeding guild,,,,,NH
main feeding stratum,main feeding stratum,0,resource acquisition,feeding mode,,feeding mode,main feeding stratum,,,,,NH
main foraging period,main foraging period,0,resource acquisition,feeding mode,,feeding mode,main foraging period,,,,,NH
plant functional type,plant functional type,0,resource acquisition,feeding mode,,feeding mode,plant functional type,,,,,NH
pouncing,pouncing,0,resource acquisition,feeding mode,,feeding mode,pouncing,,,,,NH
predation,predation,0,resource acquisition,feeding mode,,feeding mode,predation,,,,,NH
predator,predator,0,resource acquisition,feeding mode,,feeding mode,predator,,,,,NH
predatory habits,predatory habits,0,resource acquisition,feeding mode,,feeding mode,predatory habits,,,,,NH
prey capture strategy,prey capture strategy,0,resource acquisition,feeding mode,,feeding mode,prey capture strategy,,,,,NH
pursuit,pursuit,0,resource acquisition,feeding mode,,feeding mode,pursuit,,,,,NH
scavenging,scavenging,0,resource acquisition,feeding mode,,feeding mode,scavenging,,,,,NH
shifts of feeding behaviour relative to plant traits,shifts of feeding behaviour relative to plant traits,0,resource acquisition,feeding mode,,feeding mode,shifts of feeding behaviour relative to plant traits,,,,,NH
requiring macro-reduction,requiring macro-reduction,1,morphology,feeding mode,,foraging,requiring macro-reduction,,1,,CB: categorical trait indicating whether the resource needs to be masticated before swallowing,CB
ambush predation,ambush predation,0,resource acquisition,feeding mode,attack,attack,attack,,,,,CB
cacheing behaviour,cacheing behaviour,0,resource acquisition,feeding mode,,foraging mode,cacheing behaviour,,,,,CB
capture strategy,capture strategy,0,resource acquisition,feeding mode,,foraging mode,capture strategy,,,,,CB
capture tools,capture tools,0,resource acquisition,feeding mode,,foraging mode,capture tools,,,,,CB
collective foraging strategy,collective foraging strategy,0,resource acquisition,feeding mode,,foraging mode,collective foraging strategy,,,,,CB
timing of foraging season,timing of foraging season,0,resource acquisition,feeding mode,,foraging mode,timing of foraging season,,,,,CB
fiber,fiber,0,composition,fiber,,fiber,fiber,,,,,CB
fibrouses,fibrouses,0,composition,fiber,,fiber,fibrouses,,,,,CB
anal fin height,anal fin height,0,morphology,fin,,fin,anal fin height,,,,,NH
anal fin length,anal fin length,0,morphology,fin,,fin,anal fin length,,,,,NH
aspect ratio of pectoral fin,aspect ratio of pectoral fin,0,morphology,fin,,fin,aspect ratio of pectoral fin,,,,,NH
fins area,fins area,0,morphology,fin,,fin,fins area,,1,"NH: ""fin area"" and ""fin surface"" are arguable the same thing. Both are measurements of a 2D planar section of an essentially 3D object. And should be ""fin surface area""",,NH
fins area ratio,fins area ratio,0,morphology,fin,,fin,fins area ratio,,1,"NH: ""fin area"" and ""fin surface"" are arguable the same thing. Both are measurements of a 2D planar section of an essentially 3D object. And should be ""fin surface area""",,NH
fins surface ratio,fins surface ratio,0,morphology,fin,,fin,fins surface ratio,,1,"NH: ""fin area"" and ""fin surface"" are arguable the same thing. Both are measurements of a 2D planar section of an essentially 3D object. And should be ""fin surface area""",,NH
fins surface to body size ratio,fins surface to body size ratio,0,morphology,fin,,fin,fins surface to body size ratio,,1,"NH: ""fin area"" and ""fin surface"" are arguable the same thing. Both are measurements of a 2D planar section of an essentially 3D object. And should be ""fin surface area""",,NH
height of dorsal fin,height of dorsal fin,0,morphology,fin,,fin,height of dorsal fin,,,,,NH
height of tallest photosynthetic tissue,height of tallest photosynthetic tissue,0,morphology,fin,,fin,height of tallest photosynthetic tissue,,,,,NH
number of rays,number of rays,0,morphology,fin,,fin,number of rays,,1,"NH: if for fish, then this can either be structural to the fin or defensive",,NH
relative area of pectoral fin,relative area of pectoral fin,0,morphology,fin,,fin,relative area of pectoral fin,,,,,NH
relative caudal height,relative caudal height,0,morphology,fin,,fin,relative caudal height,,,,,NH
relative cuadal size,relative caudal size,0,morphology,fin,,fin,relative caudal size,,1,"NH: typo ""caudal""",,NH
relative width of caudal musculature,relative width of caudal musculature,0,morphology,fin,,fin,relative width of caudal musculature,,,,,NH
adult flight period,adult flight period,0,activity,flight traits,,flight traits,adult flight period,,,,,CB
adult flying strength,adult flying strength,0,activity,flight traits,,flight traits,adult flying strength,,,,,CB
aerodynamic index,aerodynamic index,0,activity,flight traits,,flight traits,aerodynamic index,,,,,CB
duration of adult flight period,duration of adult flight period,0,activity,flight traits,,flight traits,duration of adult flight period,,,,,CB
flight ability,flight ability,0,activity,flight traits,,flight traits,flight ability,,,,,CB
flight period,flight period,0,activity,flight traits,,flight traits,flight period,,,,,CB
flight period duration,flight period duration,0,activity,flight traits,,flight traits,flight period duration,,,,,CB
flying,flying,0,activity,flight traits,,flight traits,flying,,,,,CB
flying habit,flying habit,0,activity,flight traits,,flight traits,flying habit,,,,,CB
total distance moved,total distance moved,0,activity,flight traits,,flight traits,total distance moved,,,,,CB
type of approach,type of approach,0,activity,flight traits,,flight traits,type of approach,,,,,CB
foliage,foliage,0,morphology,foliage,,foliage,foliage,,,,,NH
foliage persistence,foliage persistence,0,morphology,foliage,,foliage,foliage persistence,,,,,NH
foliage structure,foliage structure,0,morphology,foliage,,foliage,foliage structure,,,,,NH
generation number,generation number,0,life history,generation time,,generation time,generation number,,,,,CB
generation time,generation time,0,life history,generation time,,generation time,generation time,,,,,CB
generations a year,generations a year,0,life history,generation time,,generation time,generations a year,,,,,CB
gut length,gut length,0,morphology,gut,,gut,gut length,,,,,NH
gut thickness,gut thickness,0,morphology,gut,,gut,gut thickness,,,,,NH
gut type,gut type,0,morphology,gut,,gut,gut type,,,,,NH
intestinal diameter,intestinal diameter,0,morphology,gut,,gut,intestinal diameter,,,,,NH
habitat,habitat,0,habitat,habitat,,habitat,habitat,,,,,CB
habitat availability,habitat availability,0,habitat,habitat,,habitat,habitat availability,,,,,CB
habitat casification,habitat classification,0,habitat,habitat,,habitat,habitat classification,,,,,CB
habitat degredation,habitat degradation,0,habitat,habitat,,habitat,habitat degradation,,,,,CB
habitat generalist,habitat generalist,0,habitat,habitat,,habitat,habitat generalist,,,,,CB
habitat needs,habitat needs,0,habitat,habitat,,habitat,habitat needs,,,,,CB
habitat openness,habitat openness,0,habitat,habitat,,habitat,habitat openness,,,,,CB
habitat preference for oviposition,habitat preference for oviposition,0,habitat,habitat,,habitat,habitat preference for oviposition,,,,,CB
habitat preferences,habitat preferences,0,habitat,habitat,,habitat,habitat preferences,,,,,CB
habitat quality required,habitat quality required,0,habitat,habitat,,habitat,habitat quality required,,,,,CB
habitat specialist,habitat specialist,0,habitat,habitat,,habitat,habitat specialist,,,,,CB
habitat specialization,habitat specialization,0,habitat,habitat,,habitat,habitat specialization,,,,,CB
habitat stratum,habitat stratum,0,habitat,habitat,,habitat,habitat stratum,,,,,CB
habitat structure,habitat structure,0,habitat,habitat,,habitat,habitat structure,,,,,CB
habitat use,habitat use,0,habitat,habitat,,habitat,habitat use,,,,,CB
habitat width,habitat width,0,habitat,habitat,,habitat,habitat width,,,,,CB
primary habitat,primary habitat,0,habitat,habitat,,habitat,primary habitat,,,,,CB
habitat openness,habitat openness,0,habitat,habitat,,habitat,habitat openness,,,,,CB
hair density,hair density,0,morphology,hair,,hair,hair density,,,,,NH
hairiness,hairiness,0,morphology,hair,,hair,hairiness,,1,NH: see typo below,,NH
hairy leaves,hairy leaves,0,morphology,hair,,hair,hairy leaves,,,,,NH
hariness,hairiness,0,morphology,hair,,hair,hairiness,,1,"NH: typo of ""hairiness""",,NH
leaf hairiness,leaf hairiness,0,morphology,hair,,hair,leaf hairiness,,,,,NH
leaf tomentosity,leaf tomentosity,0,morphology,hair,,hair,leaf tomentosity,,,,,NH
pilosity,pilosity,1,morphology,hair,,hair,pilosity,,1,"NH comment, this is 1) morphology and 2) hair (for insects usually, but also used in mammals sometimes)",,NH
presence of trichomes,presence of trichomes,0,morphology,hair,,hair,presence of trichomes,,,,,NH
trichome density,trichome density,0,morphology,hair,,hair,trichome density,,,,,NH
trichomes,trichomes,0,morphology,hair,,hair,trichomes,,1,"NH: how is this different from ""presence of"" these?",,NH
hardiness zone max,hardiness zone max,1,habitat,hardiness zone,,hardiness zone,hardiness zone max,,1,,CB: hardiness zone is given for plants to tell growers what can and can't grow in a region,CB
hardiness zone min,hardiness zone min,1,habitat,hardiness zone,,hardiness zone,hardiness zone min,,,,,CB
average head width,average head width,0,morphology,head,,head,average head width,,,,,NH
brow tine length,brow tine length,0,morphology,head,,head,brow tine length,,1,head,secondary,NH
clypeus length,clypeus length,0,morphology,head,,head,clypeus length,,1,head,secondary,NH
head angle,head angle,0,morphology,head,,head,head angle,,,,,NH
head depth,head depth,0,morphology,head,,head,head depth,,1,"NH: an eternal measurement problem, not just in science. But depth and width are arguable the same thing, just different perspective.",,NH
head depth along the vertical axis of the eye,head depth along the vertical axis of the eye,0,morphology,head,,head,head depth along the vertical axis of the eye,,,,,NH
head height,head height,0,morphology,head,,head,head height,,,,,NH
head length,head length,0,morphology,head,,head,head length,,,,,NH
head or inflorescence catkin,head or inflorescence catkin,0,morphology,head,,head,head or inflorescence catkin,,,,,NH
head shape,head shape,1,morphology,head,,head,head shape,,,,,NH
head size & shape,head size & shape,0,morphology,head,,head,head size & shape,,,,,NH
head width,head width,0,morphology,head,,head,head width,,1,"NH: an eternal measurement problem, not just in science. But depth and width are arguable the same thing, just different perspective.",,NH
head width to body size ratio,head width to body size ratio,0,morphology,head,,head,head width to body size ratio,,,,,NH
head-body length,head-body length,0,morphology,head,,head,head-body length,,,,,NH
relative head size,relative head size,0,morphology,head,,head,relative head size,,,,,NH
home range,home range,0,habitat,home range,,home range,home range,,,,,CB
home range area,home range area,0,habitat,home range,,home range,home range area,,,,,CB
home range size,home range size,0,habitat,home range,,home range,home range size,,,,,CB
horizontal habitat,horizontal habitat,0,habitat,horizontal habitat,,horizontal habitat,horizontal habitat,,,,,CB
horizontal position,horizontal position,0,habitat,horizontal habitat,,horizontal habitat,horizontal position,,,,,CB
host mortality,host mortality,0,resource acquisition,host characteristics,,host characteristics,host mortality,,,,,NH
host specificity,host specificity,0,resource acquisition,host characteristics,,host characteristics,host specificity,,,,,NH
host stages attacked,host stages attacked,0,resource acquisition,host characteristics,,host characteristics,host stages attacked,,,,,NH
native nontarget host,native nontarget host,0,resource acquisition,host characteristics,,host characteristics,native nontarget host,,,,,NH
number of host plant families used,number of host plant families used,0,resource acquisition,host characteristics,,host characteristics,number of host plant families used,,,,,NH
human population density within each species range,human population density within each species range,0,survival,human disturbance,,human disturbance,human population density within each species range,,,,,NH
susceptibility to insecticide,susceptibility to insecticide,0,survival,insecticide,,insecticide,susceptibility to insecticide,,,,,NH
insularity,insularity,1,habitat,insularity,,insularity,insularity,,1,,CB: related to island or not,CB
species insularity,species insularity,1,habitat,insularity,,insularity,species insularity,,1,,CB: related to whether or not it lives on an island,CB
epidermis smoothness,epidermis smoothness,0,morphology,integument,,integument,epidermis smoothness,,,,,NH
epidermis thickness,epidermis thickness,0,morphology,integument,,integument,epidermis thickness,,,,,NH
integument type,integument type,0,morphology,integument,,integument,integument type,,,,,NH
leaf surface,leaf surface,0,morphology,integument,,integument,leaf surface,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf surface texture,leaf surface texture,0,morphology,integument,,integument,leaf surface texture,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf texture,leaf texture,0,morphology,integument,,integument,leaf texture,,,,,NH
trunk bark thickness,trunk bark thickness,0,morphology,integument,,integument,trunk bark thickness,,,,,NH
Fe,Fe,0,composition,iron,,iron,Fe,,,,,CB
Fe weight,Fe weight,0,composition,iron,,iron,Fe weight,,,,,CB
root conentrations of Fe,root concentrations of Fe,0,composition,iron,,iron,root concentrations of Fe,,,,,CB
iron sensitivity as percent of relative growth rate,iron sensitivity as percent of relative growth rate,0,resource acquisition,iron,,iron,iron sensitivity as percent of relative growth rate,,,,,NH
developmental time,developmental time,0,growth,larval/juvenile stage length,,larval/juvenile stage length,developmental time,,,,,CB
duration of juvenile stage,duration of juvenile stage,0,growth,larval/juvenile stage length,,larval/juvenile stage length,duration of juvenile stage,,,,,CB
egg maturation time,egg maturation time,0,growth,larval/juvenile stage length,,larval/juvenile stage length,egg maturation time,,,,,CB
larval longevity,larval longevity,0,growth,larval/juvenile stage length,,larval/juvenile stage length,larval longevity,,,,,CB
length of min juvenile period,length of min juvenile period,0,growth,larval/juvenile stage length,,larval/juvenile stage length,length of min juvenile period,,,,,CB
number of fledging days,number of fledging days,0,growth,larval/juvenile stage length,,larval/juvenile stage length,number of fledging days,,,,,CB
number of incubaytion days,number of incubation days,0,growth,larval/juvenile stage length,,larval/juvenile stage length,number of incubation days,,,,,CB
weaning age,weaning age,0,growth,larval/juvenile stage length,,larval/juvenile stage length,weaning age,,,,,CB
capacity for lateral spread,capacity for lateral spread,0,growth,lateral spread,,lateral spread,capacity for lateral spread,,,,,CB
lateral spread,lateral spread,0,growth,lateral spread,,lateral spread,lateral spread,,,,,CB
lateral spread rate,lateral spread rate,0,growth,lateral spread,,lateral spread,lateral spread rate,,,,,CB
latex,latex,0,composition,latex,,latex,latex,,,,,CB
latex content,latex content,0,composition,latex,,latex,latex content,,,,,CB
leaf size,leaf size,0,morphology,leaf area,size,size,size,,,,,NH
leaf width,leaf width,0,morphology,leaf area,size,size,size,,,,,NH
leaf widths,leaf widths,0,morphology,leaf area,size,size,size,,,,,NH
leaflet total area,leaflet total area,0,morphology,leaf area,size,size,size,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
average leaf area,average leaf area,0,morphology,leaf area,,leaf area,average leaf area,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
average specific leaf area,average specific leaf area,0,morphology,leaf area,,leaf area,average specific leaf area,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
crown leaf area index,crown leaf area index,0,morphology,leaf area,,leaf area,crown leaf area index,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
individual leaf area,individual leaf area,0,morphology,leaf area,,leaf area,individual leaf area,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf area,leaf area,0,morphology,leaf area,,leaf area,leaf area,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf area divided by dry mass,leaf area divided by dry mass,0,morphology,leaf area,,leaf area,leaf area divided by dry mass,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf area index,leaf area index,0,morphology,leaf area,,leaf area,leaf area index,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf area per leaf,leaf area per leaf,0,morphology,leaf area,,leaf area,leaf area per leaf,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf area ratio,leaf area ratio,0,morphology,leaf area,,leaf area,leaf area ratio,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf area:perimeter ratio,leaf area:perimeter ratio,0,morphology,leaf area,,leaf area,leaf area:perimeter ratio,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf density,leaf density,0,morphology,leaf area,,leaf area,leaf density,,,,,NH
leaf length,leaf length,0,morphology,leaf area,,leaf area,leaf length,,,,,NH
leaf lengths,leaf lengths,0,morphology,leaf area,,leaf area,leaf lengths,,,,,NH
leaf mass fraction,leaf mass fraction,0,morphology,leaf area,,leaf area,leaf mass fraction,,,,,NH
leaf mass production,leaf mass production,0,morphology,leaf area,,leaf area,leaf mass production,,,,,NH
leaf mass ratio,leaf mass ratio,0,morphology,leaf area,,leaf area,leaf mass ratio,,,,,NH
leaf mass/area,leaf mass/area,0,morphology,leaf area,,leaf area,leaf mass/area,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf mass:area ratio,leaf mass:area ratio,0,morphology,leaf area,,leaf area,leaf mass:area ratio,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf mass:twig mass,leaf mass:twig mass,0,morphology,leaf area,,leaf area,leaf mass:twig mass,,,,,NH
leaf projected area,leaf projected area,0,morphology,leaf area,,leaf area,leaf projected area,,1,"NH: as with fins, any mention of surface area and area need to be combined",,NH
leaf unit area,leaf unit area,0,morphology,leaf area,,leaf area,leaf unit area,,,,,NH
mean area of a leaf,mean area of a leaf,0,morphology,leaf area,,leaf area,mean area of a leaf,,,,,NH
mean leaf length,mean leaf length,0,morphology,leaf area,,leaf area,mean leaf length,,,,,NH
mean leaf width,mean leaf width,0,morphology,leaf area,,leaf area,mean leaf width,,,,,NH
number of leaves,number of leaves,0,morphology,leaf area,,leaf area,number of leaves,,,,,NH
